Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
19-Oct-16,4300.91,4306.45,4271.83,4280.67,,5.98B,-0.34%
18-Oct-16,4232.69,4295.06,4232.69,4295.06,,5.87B,1.34%
17-Oct-16,4286.57,4292.41,4229.32,4238.32,,5.34B,-1.01%
14-Oct-16,4286.57,4286.57,4256.04,4281.68,,4.92B,-0.23%
13-Oct-16,4290.53,4304.44,4279.56,4291.76,,5.58B,-0.03%
12-Oct-16,4278.50,4294.40,4270.99,4292.94,,5.39B,0.09%
11-Oct-16,4275.59,4291.95,4269.20,4289.22,,6.02B,0.31%
10-Oct-16,4226.73,4275.77,4214.00,4275.77,,5.79B,1.57%
30-Sep-16,4185.69,4219.88,4183.42,4209.54,,3.45B,0.50%
29-Sep-16,4173.40,4206.07,4173.40,4188.52,,3.88B,0.46%
28-Sep-16,4179.82,4181.10,4157.11,4169.15,,3.31B,-0.14%
27-Sep-16,4133.02,4175.18,4127.73,4175.18,,4.40B,0.86%
26-Sep-16,4217.39,4217.46,4139.57,4139.57,,5.74B,-2.07%
23-Sep-16,4254.95,4259.01,4226.33,4227.11,,5.10B,-0.59%
22-Sep-16,4242.55,4266.23,4237.87,4252.08,,5.67B,0.83%
21-Sep-16,4200.51,4223.57,4198.14,4217.17,,4.49B,0.40%
20-Sep-16,4207.13,4207.99,4191.69,4200.33,,3.97B,-0.10%
19-Sep-16,4171.89,4210.47,4171.89,4204.66,,4.13B,1.00%
14-Sep-16,4170.66,4190.40,4152.79,4163.13,,4.81B,-0.62%
13-Sep-16,4192.13,4201.37,4167.46,4189.16,,5.33B,0.46%
12-Sep-16,4214.93,4231.89,4169.06,4169.83,,7.44B,-2.74%
9-Sep-16,4324.15,4331.81,4287.09,4287.09,,6.05B,-0.81%
8-Sep-16,4316.49,4328.73,4301.55,4322.10,,5.56B,0.07%
7-Sep-16,4328.27,4343.47,4314.38,4319.05,,7.28B,-0.24%
6-Sep-16,4276.45,4329.65,4240.32,4329.65,,7.15B,1.48%
